Number of parameters: 88901
input:120 hidden:100 layers:1, no dropout

[17,  9000] loss: 0.893
[17, 10000] loss: 0.896
[17, 11000] loss: 0.909
[17, 12000] loss: 0.917
[17, 13000] loss: 0.901
[17, 14000] loss: 0.925
[17, 15000] loss: 0.892
[17, 16000] loss: 0.912
[17, 17000] loss: 0.903
[17, 18000] loss: 0.889
[17, 19000] loss: 0.901
[17, 20000] loss: 0.905
[17, 21000] loss: 0.898
[17, 22000] loss: 0.907
[17, 23000] loss: 0.913
[17, 24000] loss: 0.911
[17, 25000] loss: 0.916
[17, 26000] loss: 0.909
[17, 27000] loss: 0.911
[17, 28000] loss: 0.935
[17] Test loss: 0.954
[18,  1000] loss: 0.892
[18,  2000] loss: 0.895
[18,  3000] loss: 0.912
[18,  4000] loss: 0.907
[18,  5000] loss: 0.889
[18,  6000] loss: 0.917
[18,  7000] loss: 0.900
[18,  8000] loss: 0.929
[18,  9000] loss: 0.911
[18, 10000] loss: 0.885
[18, 11000] loss: 0.874
[18, 12000] loss: 0.893
[18, 13000] loss: 0.888
[18, 14000] loss: 0.894
[18, 15000] loss: 0.898
[18, 16000] loss: 0.899
[18, 17000] loss: 0.904
[18, 18000] loss: 0.892
[18, 19000] loss: 0.923
[18, 20000] loss: 0.899
[18, 21000] loss: 0.909
[18, 22000] loss: 0.899
[18, 23000] loss: 0.893
[18, 24000] loss: 0.902
[18, 25000] loss: 0.906
[18, 26000] loss: 0.912
[18, 27000] loss: 0.909
[18, 28000] loss: 0.902
[18] Test loss: 0.949
[19,  1000] loss: 0.889
[19,  2000] loss: 0.903
[19,  3000] loss: 0.896
[19,  4000] loss: 0.889
[19,  5000] loss: 0.893
[19,  6000] loss: 0.889
[19,  7000] loss: 0.870
[19,  8000] loss: 0.882
[19,  9000] loss: 0.893
[19, 10000] loss: 0.898
[19, 11000] loss: 0.911
[19, 12000] loss: 0.898
[19, 13000] loss: 0.897
[19, 14000] loss: 0.871
[19, 15000] loss: 0.899
[19, 16000] loss: 0.897
[19, 17000] loss: 0.916
[19, 18000] loss: 0.911
[19, 19000] loss: 0.898
[19, 20000] loss: 0.928
[19, 21000] loss: 0.901
[19, 22000] loss: 0.909
[19, 23000] loss: 0.917
[19, 24000] loss: 0.891
[19, 25000] loss: 0.908
[19, 26000] loss: 0.901
[19, 27000] loss: 0.905
[19, 28000] loss: 0.912
[19] Test loss: 0.949
[20,  1000] loss: 0.870
[20,  2000] loss: 0.892
[20,  3000] loss: 0.886
[20,  4000] loss: 0.896
[20,  5000] loss: 0.898
[20,  6000] loss: 0.911
[20,  7000] loss: 0.893
[20,  8000] loss: 0.895
[20,  9000] loss: 0.890
[20, 10000] loss: 0.894
[20, 11000] loss: 0.902
[20, 12000] loss: 0.886
[20, 13000] loss: 0.888
[20, 14000] loss: 0.890
[20, 15000] loss: 0.911
[20, 16000] loss: 0.920
[20, 17000] loss: 0.899
[20, 18000] loss: 0.892
[20, 19000] loss: 0.882
[20, 20000] loss: 0.910
[20, 21000] loss: 0.897
[20, 22000] loss: 0.892
[20, 23000] loss: 0.897
[20, 24000] loss: 0.916
[20, 25000] loss: 0.925
[20, 26000] loss: 0.911
[20, 27000] loss: 0.903
[20, 28000] loss: 0.885
[20] Test loss: 0.951
[21,  9000] loss: 0.889
[21, 18000] loss: 0.893
[21, 27000] loss: 0.905
[21] Test loss: 0.950
[22,  9000] loss: 0.884
[22, 18000] loss: 0.898
[22, 27000] loss: 0.899
[22] Test loss: 0.957
[23,  9000] loss: 0.888
[23, 18000] loss: 0.893
[23, 27000] loss: 0.896
[23] Test loss: 0.953
[24,  9000] loss: 0.889
[24, 18000] loss: 0.892
[24, 27000] loss: 0.893
[24] Test loss: 0.946
[25,  9000] loss: 0.884
[25, 18000] loss: 0.891
[25, 27000] loss: 0.895
[25] Test loss: 0.953
[26,  9000] loss: 0.886
[26, 18000] loss: 0.892
[26, 27000] loss: 0.887
[26] Test loss: 0.951
[27,  9000] loss: 0.883
[27, 18000] loss: 0.891
[27, 27000] loss: 0.890
[27] Test loss: 0.951
[28,  9000] loss: 0.878
[28, 18000] loss: 0.887
[28, 27000] loss: 0.894
[28] Test loss: 0.950
[29,  9000] loss: 0.882
[29, 18000] loss: 0.883
[29, 27000] loss: 0.890
[29] Test loss: 0.949
[30,  9000] loss: 0.871
[30, 18000] loss: 0.889
[30, 27000] loss: 0.893
[30] Test loss: 0.955




Number of parameters: 1030051
input:120 hidden:450 layers:1, no dropout

[1,  9000] loss: 1.110
[1, 18000] loss: 1.030
[1, 27000] loss: 1.005
[1] Test loss: 1.014
[2,  9000] loss: 0.992
[2, 18000] loss: 0.985
[2, 27000] loss: 0.980
[2] Test loss: 0.995
[3,  9000] loss: 0.958
[3, 18000] loss: 0.975
[3, 27000] loss: 0.967
[3] Test loss: 0.982
[4,  9000] loss: 0.952
[4, 18000] loss: 0.947
[4, 27000] loss: 0.957
[4] Test loss: 0.975
[5,  9000] loss: 0.937
[5, 18000] loss: 0.939
[5, 27000] loss: 0.941
[5] Test loss: 0.973
[6,  9000] loss: 0.926
[6, 18000] loss: 0.925
[6, 27000] loss: 0.929
[6] Test loss: 0.978
[7,  9000] loss: 0.907
[7, 18000] loss: 0.920
[7, 27000] loss: 0.923
[7] Test loss: 0.968
[8,  9000] loss: 0.898
[8, 18000] loss: 0.910
[8, 27000] loss: 0.912
[8] Test loss: 0.965
[9,  9000] loss: 0.891
[9, 18000] loss: 0.894
[9, 27000] loss: 0.906
[9] Test loss: 0.966
[10,  9000] loss: 0.878
[10, 18000] loss: 0.896
[10, 27000] loss: 0.891
[10] Test loss: 0.969
[11,  9000] loss: 0.868
[11, 18000] loss: 0.883
[11, 27000] loss: 0.883
[11] Test loss: 0.969
[12,  9000] loss: 0.857
[12, 18000] loss: 0.876
[12, 27000] loss: 0.872
[12] Test loss: 0.974
[13,  9000] loss: 0.851
[13, 18000] loss: 0.863
[13, 27000] loss: 0.863
[13] Test loss: 0.972
[14,  9000] loss: 0.839
[14, 18000] loss: 0.854
[14, 27000] loss: 0.860
[14] Test loss: 0.975
[15,  9000] loss: 0.829
[15, 18000] loss: 0.847
[15, 27000] loss: 0.848
[15] Test loss: 0.979
[16,  9000] loss: 0.821
[16, 18000] loss: 0.830
[16, 27000] loss: 0.849
[16] Test loss: 0.984
[17,  9000] loss: 0.812
[17, 18000] loss: 0.827
[17, 27000] loss: 0.839
[17] Test loss: 0.986
[18,  9000] loss: 0.806
[18, 18000] loss: 0.819
[18, 27000] loss: 0.829
[18] Test loss: 0.997
[19,  9000] loss: 0.791
[19, 18000] loss: 0.815
[19, 27000] loss: 0.832
[19] Test loss: 0.997
[20,  9000] loss: 0.789
[20, 18000] loss: 0.808
[20, 27000] loss: 0.818
[20] Test loss: 0.999
[21,  9000] loss: 0.785
